Grade,Subject,Textbook
I,English,Marigold
I,English,Raindrops
I,Mathematics,Math-Magic
I,Mathematics,Ganit Ka Jaadu
I,Mathematics,Riyazi Ka Jadoo-I(Urdu)
I,Hindi,Rimjhim
I,Urdu,Ibtedai Urdu-I
II,Mathematics,Math-Magic
II,Mathematics,ganit ka Jadu
II,Mathematics,Riyazi ka Jadu-II(Urdu)
II,Hindi,Rimjhim
II,English,Marigold
II,English,Raindrops
II,Urdu,Ibtedai Urdu-II
III,Mathematics,Mathematics
III,Mathematics,Ganit
III,Mathematics,Riyazi Ka Jadoo-III(Urdu)
III,Hindi,Rimjhim
III,English,Marigold
III,Environmental Studies,Looking Around
III,Environmental Studies,Aas-Pass
III,Environmental Studies,Aas-Pass(urdu)
III,Urdu,Ibtedai Urdu
IV,Mathematics,Math-Magic
IV,Mathematics,Ganit Ka Jadu
IV,Mathematics,Riyazi Ka Jadu(Urdu)
IV,Hindi,Rimjhim
IV,English,Marigold
IV,Environmental Studies,Looking Around(EVS)
IV,Environmental Studies,Aas Paas
IV,Environmental Studies,Aas-Paas(Urdu)
IV,Urdu,Ibtedai Urdu-IV
V,Mathematics,Math-Magic
V,Mathematics,Ganit
V,Mathematics,Riyazi Ka Jadoo(Urdu)
V,Hindi,Rimjhim
V,English,Marigold
V,Environmental Studies,Aas-Pass
V,Environmental Studies,Looking Around
V,Environmental Studies,Ass Pass(Urdu)
V,Urdu,Ibtedai Urdu Class-V
VI,Hindi,Vasant
VI,Hindi,Durva
VI,Hindi,Bal Ram Katha
VI,English,Honeysuckle
VI,English,A Pact With The Sun
VI,Mathematics,Mathematics
VI,Mathematics,Ganit
VI,Mathematics,Hisab(Urdu)
VI,Social Studies,History - Our Past
VI,Social Studies,The Earth Our Habitat
VI,Social Studies,Hamare Ateet
VI,Social Studies,Social And Political Life
VI,Social Studies,Samajik Evem Rajnitik Jeevan
VI,Social Studies,Prithavi Hamara Avas (Bhugol)
VI,Social Studies,Hamare Maazi(Urdu)
VI,Social Studies,Zameen Hamara Maskan(Urdu)
VI,Social Studies,Samazi Aur Siyasi Zindagi(Urdu)
VI,Sanskrit,Ruchira
VI,Science,Vigyan
VI,Science,Science
VI,Science,science-VI(Urdu)
VI,Urdu,Apni Zuban-VI
VI,Urdu,Urdu Guldasta
VI,Urdu,Jaan Pahechan
VII,Mathematics,Ganit
VII,Mathematics,Mathmatics
VII,Mathematics,Hisab(Urdu)
VII,Science,Science
VII,Science,Vigyan
VII,Science,Science(Urdu)
VII,English,Honeycomb
VII,English,An alien Hand Supplementry Reader
VII,Sanskrit,Ruchira
VII,Social Science,Social and Political Life
VII,Social Science,Samajik aur Rajniti Jeevan
VII,Social Science,Samajik Aur Siyasi Zindagi
VII,Social Science,Our Pasts-II
VII,Social Science,Hamare Ateet-II
VII,Social Science,Our Environment
VII,Social Science,Hamara Paryavaran
VII,Social Science,Hamare Maazi(Urdu)
VII,Social Science,Hamare Mahol(Urdu))
VII,Hindi,Vasant
VII,Hindi,Durva
VII,Hindi,Mahabharat
VII,Urdu,Apni Zaban
VII,Urdu,Urdu Guldasta-Suppl
VII,Urdu,Door - Pass
VIII,English,Honeydew
VIII,English,It So Happend
VIII,Mathematics,Mathematics
VIII,Mathematics,Ganit
VIII,Mathematics,Riyazi(Urdu)
VIII,Hindi,Vasant
VIII,Hindi,Durva
VIII,Hindi,Bharat Ki Khoj
VIII,Hindi,Sanshipt Budhcharit
VIII,Science,Science
VIII,Science,Vigyan
VIII,Science,Science(Urdu)
VIII,Social Science,Resource And Development(Geography)
VIII,Social Science,Sansadhan Avam Vikas(Bhugol)
VIII,Social Science,Social And Political Life
VIII,Social Science,Samajik Avam Rajnatik Jeevan
VIII,Social Science,Our-Pasts-III
VIII,Social Science,Hamare Atit-III (Itihas)
VIII,Social Science,Geography(Urdu)
VIII,Social Science,Samaji Aur Siyasi Zindagi(Urdu)
VIII,Social Science,Hamare Maazi (Urdu)
VIII,Sanskrit,Ruchira
VIII,Urdu,Apni Zaban
VIII,Urdu,Urdu Guldasta (Supl)
VIII,Urdu,Door-Pass
VIII,Urdu,Jaan Pahechan
IX,English,Beehive English Text Book
IX,English,Moments Supplimentary Reader
IX,English,Words and Expressions  1
IX,Hindi,Kshitij Hindi Text Book
IX,Hindi,Sprash
IX,Hindi,Kritika
IX,Hindi,Sanchayan
IX,Sanskrit,Shemushi Prathmo Bhag
IX,Sanskrit,Vyakaranavithi
IX,Sanskrit,Abhyaswaan Bhav
IX,Mathematics,Mathematics
IX,Mathematics,Ganit
IX,Mathematics,Reyazi (Urdu)
IX,Science,Science
IX,Science,Vigyan
IX,Science,Science (Urdu)
IX,Social Science,Democratic Politics
IX,Social Science,Loktantrik Rajniti
IX,Social Science,Contemporary India
IX,Social Science,Samkalin Bharat
IX,Social Science,Arthashastra
IX,Social Science,Economics
IX,Social Science,India and the Contempoarary World-I
IX,Social Science,Bharat Aur Samkalin Vishwa-I
IX,Social Science,Geographia(Urdu)
IX,Social Science,Jamhuri Syasat(Urdu)
IX,Social Science,Hindustan Aur Asri Dunia-I(Urdu)
IX,Social Science,Aasri Hindustan
IX,Social Science,Mashiyat
IX,Urdu,Gulzare-e-urdu
IX,Urdu,Nawa-e-urdu
IX,Urdu,Jaan Pahechan
IX,Urdu,Door Pass
